n_units,activation,learning_rate,optimizer,dropout,mean_squared_error
"8,16",tanh,0.001,sgd,0.1,0.8767657279968262
"4,2",relu,0.01,adam,0.1,0.7930574417114258
"4,2",relu,0.001,sgd,0.25,0.9773034453392029
"8,16",relu,0.001,sgd,0.1,0.9755545258522034
"8,16",softplus,0.001,sgd,0.1,0.9794596433639526
"8,16",tanh,0.01,sgd,0.1,0.758467972278595
"4,2",relu,0.001,adam,0.1,0.7727371454238892
"8,16",relu,0.01,sgd,0.05,0.7595537900924683
"8,16",softplus,0.001,adam,0.25,0.7592766284942627
"4,2",tanh,0.001,sgd,0.05,0.976965606212616
"4,2",softplus,0.01,sgd,0.05,0.977757453918457
"8,16",tanh,0.001,adam,0.05,0.758764386177063
"8,16",softplus,0.001,adam,0.1,0.7569140791893005
"4,2",softplus,0.01,adam,0.1,0.7777562737464905
"8,16",tanh,0.001,adam,0.1,0.7583246231079102
"8,16",relu,0.001,adam,0.25,0.7578119039535522
"8,16",tanh,0.01,adam,0.25,0.7802278399467468
"4,2",tanh,0.01,adam,0.1,0.7672032713890076
"8,16",tanh,0.01,adam,0.1,0.7658401727676392
"4,2",relu,0.001,sgd,0.1,0.9773085117340088
"4,2",tanh,0.01,adam,0.05,0.763034999370575
"4,2",relu,0.001,adam,0.25,0.7913429737091064
"4,2",softplus,0.01,adam,0.25,0.7922602295875549
"8,16",relu,0.001,sgd,0.25,0.9755011200904846
"4,2",relu,0.01,adam,0.25,0.7862170934677124
"4,2",softplus,0.01,sgd,0.1,0.9770671725273132
"8,16",relu,0.01,adam,0.05,0.7750740647315979
"8,16",relu,0.001,sgd,0.05,0.9745702147483826
"8,16",tanh,0.001,sgd,0.25,0.9529140591621399
"4,2",relu,0.01,sgd,0.05,0.9693635702133179
"8,16",softplus,0.001,adam,0.05,0.7577369809150696
"8,16",softplus,0.01,sgd,0.05,0.7621567845344543
"8,16",relu,0.001,adam,0.05,0.7584071159362793
"8,16",softplus,0.01,adam,0.05,0.7585394382476807
"4,2",softplus,0.01,sgd,0.25,0.9772607684135437
"4,2",tanh,0.001,adam,0.25,0.7658745646476746
"4,2",tanh,0.01,sgd,0.05,0.7594171166419983
"8,16",tanh,0.01,sgd,0.25,0.7569639682769775
"4,2",relu,0.01,sgd,0.1,0.7802481651306152
"4,2",softplus,0.001,sgd,0.1,0.9773247241973877
"8,16",tanh,0.01,adam,0.05,0.7668738961219788
"8,16",tanh,0.01,sgd,0.05,0.7570595741271973
"8,16",softplus,0.01,adam,0.25,0.7607594728469849
"8,16",relu,0.01,adam,0.25,0.7624038457870483
"8,16",relu,0.01,sgd,0.25,0.7588298320770264
"4,2",relu,0.01,sgd,0.25,0.8238364458084106
"8,16",softplus,0.01,sgd,0.1,0.762276291847229
"8,16",softplus,0.001,sgd,0.05,0.978082537651062
"4,2",softplus,0.001,adam,0.1,0.7617817521095276
"4,2",softplus,0.001,sgd,0.25,0.9772287607192993
"4,2",tanh,0.001,adam,0.1,0.759952187538147
"4,2",tanh,0.001,sgd,0.25,0.9767547845840454
"8,16",relu,0.01,adam,0.1,0.7597392201423645
"8,16",softplus,0.001,sgd,0.25,0.9772273302078247
"8,16",softplus,0.01,adam,0.1,0.7753260135650635
"4,2",relu,0.001,sgd,0.05,0.9773404598236084
"8,16",softplus,0.01,sgd,0.25,0.9773942828178406
"8,16",relu,0.01,sgd,0.1,0.7568879127502441
"8,16",tanh,0.001,sgd,0.05,0.9300487041473389
"4,2",tanh,0.001,sgd,0.1,0.9773091077804565
"4,2",tanh,0.01,sgd,0.1,0.7598519921302795
"4,2",relu,0.01,adam,0.05,0.7843242883682251
"8,16",relu,0.001,adam,0.1,0.757490873336792
"4,2",softplus,0.001,adam,0.05,0.7566239833831787
"4,2",softplus,0.001,adam,0.25,0.7838472127914429
"4,2",tanh,0.01,sgd,0.25,0.7665026783943176
"8,16",tanh,0.001,adam,0.25,0.7572230100631714
"4,2",softplus,0.01,adam,0.05,0.7607340216636658
"4,2",softplus,0.001,sgd,0.05,0.9774097204208374
"4,2",tanh,0.001,adam,0.05,0.7596036195755005
"4,2",relu,0.001,adam,0.05,0.7575885653495789
"4,2",tanh,0.01,adam,0.25,0.7719182372093201
