learning_rate,activation,optimizer,dropout,n_units,precision
0.01,tanh,sgd,0.0,"32,64,32",0.0
0.001,tanh,sgd,0.05,"32,32,32,32",0.0
0.001,tanh,sgd,0.1,"64,64",0.0
0.01,relu,sgd,0.0,"32,32,32,32",0.4122641384601593
0.01,relu,sgd,0.25,"32,32,32,32",0.2075471729040146
0.001,softplus,sgd,0.1,"32,64,32",0.2637362778186798
0.01,relu,adam,0.25,"32,32,32,32",0.0
0.01,softplus,adam,0.25,"32,32,32,32",0.0
0.001,tanh,sgd,0.25,"64,64",0.0
0.001,softplus,sgd,0.25,"64,64",0.2982456088066101
0.001,tanh,sgd,0.1,"32,64,32",0.0
0.001,softplus,adam,0.1,"32,64,32",0.332527220249176
0.01,softplus,sgd,0.1,"32,32,32,32",0.3160083293914795
0.01,softplus,adam,0.1,"32,64,32",0.0
0.01,tanh,adam,0.0,"64,64",0.1901140660047531
0.01,softplus,sgd,0.1,"32,64,32",0.3352769613265991
0.001,softplus,sgd,0.1,"64,64",0.32225432991981506
0.01,softplus,sgd,0.0,"64,64",0.0
0.01,relu,adam,0.1,"64,64",0.0
0.001,relu,adam,0.1,"32,64,32",0.36435869336128235
0.01,relu,adam,0.1,"32,64,32",0.0
0.001,relu,sgd,0.05,"32,32,32,32",0.0
0.01,softplus,sgd,0.0,"32,64,32",0.36858317255973816
0.01,softplus,sgd,0.1,"64,64",0.355094850063324
0.001,tanh,sgd,0.0,"32,64,32",0.0
0.01,relu,sgd,0.25,"32,64,32",0.29680365324020386
0.01,relu,sgd,0.05,"32,64,32",0.35322776436805725
0.001,relu,adam,0.05,"64,64",0.3463588058948517
0.01,tanh,sgd,0.05,"64,64",0.0
0.01,relu,adam,0.0,"64,64",0.0
0.01,relu,adam,0.05,"32,32,32,32",0.0
0.001,relu,adam,0.0,"32,64,32",0.36285361647605896
0.001,tanh,adam,0.05,"32,64,32",0.0
0.001,tanh,sgd,0.25,"32,32,32,32",0.0
0.001,relu,sgd,0.0,"32,32,32,32",0.0
0.01,relu,sgd,0.05,"64,64",0.25
0.001,softplus,adam,0.05,"32,64,32",0.30910950899124146
0.001,relu,adam,0.25,"64,64",0.28155338764190674
0.001,tanh,adam,0.25,"32,64,32",0.0
0.01,relu,adam,0.05,"32,64,32",0.0
0.001,softplus,sgd,0.05,"32,64,32",0.3104838728904724
0.01,tanh,adam,0.05,"32,32,32,32",0.0
0.001,tanh,sgd,0.1,"32,32,32,32",0.0
0.01,tanh,adam,0.1,"32,64,32",0.19565217196941376
0.01,relu,adam,0.1,"32,32,32,32",0.0
0.001,tanh,adam,0.0,"32,64,32",0.125
0.001,relu,sgd,0.05,"64,64",0.32092198729515076
0.01,tanh,sgd,0.25,"64,64",0.0
0.01,relu,sgd,0.1,"32,64,32",0.2907488942146301
0.001,tanh,adam,0.25,"32,32,32,32",0.0
0.001,tanh,adam,0.1,"32,32,32,32",0.25
0.001,relu,adam,0.0,"32,32,32,32",0.3758668601512909
0.01,softplus,sgd,0.25,"32,64,32",0.37254902720451355
0.001,relu,adam,0.05,"32,64,32",0.33873873949050903
0.01,relu,sgd,0.0,"64,64",0.3333333432674408
0.01,tanh,adam,0.25,"32,32,32,32",0.0
0.001,tanh,adam,0.1,"32,64,32",0.0
0.001,relu,sgd,0.0,"64,64",0.3388756811618805
0.001,softplus,adam,0.0,"32,64,32",0.3554443120956421
0.01,softplus,sgd,0.05,"64,64",1.0
0.001,softplus,adam,0.0,"64,64",0.33646029233932495
0.001,softplus,adam,0.25,"32,64,32",0.32613909244537354
0.01,tanh,sgd,0.1,"64,64",0.0
0.01,tanh,sgd,0.25,"32,32,32,32",0.0
0.001,softplus,sgd,0.25,"32,32,32,32",0.0
0.001,relu,adam,0.1,"32,32,32,32",0.37130802869796753
0.001,softplus,adam,0.1,"32,32,32,32",0.33788394927978516
0.01,softplus,adam,0.25,"32,64,32",0.0
0.001,relu,sgd,0.1,"64,64",0.3629489541053772
0.001,relu,adam,0.25,"32,64,32",0.34422656893730164
0.01,tanh,sgd,0.25,"32,64,32",0.0
