learning_rate,n_units,activation,dropout,optimizer,precision
0.001,"64,64,64,64",tanh,0.25,sgd,0.0
0.01,"64,64,64,64",relu,0.05,sgd,0.38049304485321045
0.001,"64,32,64,32,64",softplus,0.25,adam,0.36082473397254944
0.01,"64,64,64,64",tanh,0.05,sgd,0.0
0.001,"64,32,64,32,64",softplus,0.05,sgd,0.0
0.001,"64,64,64,64",softplus,0.1,adam,0.3639705777168274
0.001,"64,32,64,32,64",tanh,0.05,sgd,0.0
0.01,"64,64,64,64",softplus,0.05,sgd,0.3707627058029175
0.001,"64,64,64,64",tanh,0.1,adam,0.0
0.01,"64,32,64,32,64",tanh,0.25,sgd,0.0
0.01,"64,64,64,64",softplus,0.05,adam,0.0
0.001,"64,64,64,64",tanh,0.05,adam,0.2857142984867096
0.01,"64,32,64,32,64",tanh,0.1,sgd,0.0
0.001,"64,64,64,64",relu,0.1,adam,0.34569045901298523
0.001,"64,32,64,32,64",tanh,0.1,sgd,0.0
0.01,"64,32,64,32,64",relu,0.0,sgd,0.3338278830051422
0.001,"64,32,64,32,64",relu,0.05,sgd,0.0
0.01,"64,32,64,32,64",softplus,0.0,adam,0.0
0.001,"64,64,64,64",softplus,0.05,sgd,0.3661971688270569
0.001,"64,64,64,64",relu,0.1,sgd,0.4193548262119293
0.001,"64,64,64,64",relu,0.05,adam,0.36566588282585144
0.001,"64,32,64,32,64",softplus,0.25,sgd,0.0
0.001,"64,32,64,32,64",relu,0.05,adam,0.33175355195999146
0.001,"64,32,64,32,64",relu,0.25,sgd,0.0
0.01,"64,64,64,64",relu,0.25,adam,0.0
0.01,"64,64,64,64",tanh,0.05,adam,0.0
0.01,"64,32,64,32,64",tanh,0.05,sgd,0.0
0.001,"64,64,64,64",relu,0.0,adam,0.3593658208847046
0.001,"64,64,64,64",relu,0.25,adam,0.3299492299556732
0.01,"64,32,64,32,64",relu,0.0,adam,0.0
0.001,"64,64,64,64",tanh,0.0,adam,0.0
0.01,"64,64,64,64",relu,0.0,sgd,0.3559969365596771
0.01,"64,64,64,64",softplus,0.0,sgd,0.3680649399757385
0.01,"64,32,64,32,64",relu,0.1,adam,0.0
0.001,"64,64,64,64",softplus,0.0,sgd,0.374015748500824
0.01,"64,64,64,64",softplus,0.1,adam,0.0
0.001,"64,32,64,32,64",tanh,0.0,adam,0.0
0.001,"64,64,64,64",relu,0.05,sgd,0.2800000011920929
0.01,"64,64,64,64",tanh,0.25,sgd,0.0
0.001,"64,32,64,32,64",tanh,0.25,sgd,0.0
0.01,"64,32,64,32,64",tanh,0.0,adam,0.0
0.01,"64,64,64,64",relu,0.05,adam,0.0
0.01,"64,32,64,32,64",tanh,0.25,adam,0.0
0.01,"64,32,64,32,64",relu,0.1,sgd,0.34859153628349304
