dropout,n_units,activation,learning_rate,optimizer,precision
0.25,"32,32",tanh,0.001,adam,0.0
0.25,"32,32",tanh,0.01,sgd,0.0
0.25,64,tanh,0.001,sgd,0.0
0.25,64,softplus,0.001,adam,0.32686567306518555
0.05,"32,32",tanh,0.001,sgd,0.0
0.25,"32,32",tanh,0.01,adam,0.0
0.0,"32,32",softplus,0.01,sgd,0.0
0.05,64,tanh,0.01,adam,0.18479685485363007
0.0,64,tanh,0.01,adam,0.26923078298568726
0.05,64,tanh,0.01,sgd,0.1666666716337204
0.0,"32,32",relu,0.01,sgd,0.5
0.0,64,softplus,0.001,adam,0.32674944400787354
0.0,64,relu,0.01,sgd,0.5
0.1,"32,32",tanh,0.01,sgd,0.0
0.1,"32,32",relu,0.01,sgd,0.5
0.25,64,relu,0.01,sgd,0.6666666865348816
0.0,"32,32",tanh,0.001,adam,0.0
0.05,"32,32",relu,0.001,adam,0.3679918348789215
0.1,64,relu,0.001,adam,0.35066163539886475
0.0,"32,32",softplus,0.001,adam,0.3579545319080353
0.0,64,softplus,0.01,adam,0.5384615659713745
0.05,64,relu,0.001,sgd,0.25806450843811035
0.0,64,tanh,0.001,sgd,0.42500001192092896
0.05,"32,32",tanh,0.01,adam,0.0
0.25,64,tanh,0.001,adam,1.0
0.25,64,softplus,0.001,sgd,0.35555556416511536
0.1,64,relu,0.001,sgd,0.37272727489471436
0.05,"32,32",softplus,0.01,sgd,0.0
0.05,64,softplus,0.01,adam,0.2857142984867096
0.1,"32,32",tanh,0.001,sgd,0.0
0.0,"32,32",tanh,0.001,sgd,0.0
0.05,64,tanh,0.001,sgd,0.0
0.25,64,relu,0.001,sgd,0.2666666805744171
0.1,"32,32",softplus,0.01,adam,0.0
0.0,64,softplus,0.01,sgd,0.5
0.0,64,softplus,0.001,sgd,0.4193548262119293
0.0,"32,32",relu,0.01,adam,0.0
0.1,64,tanh,0.001,adam,0.4000000059604645
0.25,"32,32",relu,0.01,adam,0.0
0.1,"32,32",relu,0.01,adam,0.0
0.0,"32,32",softplus,0.001,sgd,0.3732673227787018
0.25,"32,32",softplus,0.01,adam,0.0
0.1,"32,32",softplus,0.001,sgd,0.2883211672306061
0.05,"32,32",relu,0.01,sgd,0.5555555820465088
0.1,64,tanh,0.01,adam,0.18934911489486694
0.25,"32,32",relu,0.01,sgd,0.1818181872367859
0.05,"32,32",softplus,0.01,adam,0.0
0.0,64,tanh,0.001,adam,0.4421052634716034
0.1,64,relu,0.01,sgd,0.0
0.05,64,relu,0.01,sgd,0.5
0.05,"32,32",tanh,0.001,adam,0.0
0.05,64,softplus,0.001,sgd,0.36567163467407227
0.25,64,softplus,0.01,sgd,0.0
0.0,64,tanh,0.01,sgd,0.3181818127632141
0.0,"32,32",tanh,0.01,adam,0.6666666865348816
0.05,64,softplus,0.001,adam,0.34939759969711304
0.05,64,relu,0.01,adam,0.21052631735801697
0.05,64,relu,0.001,adam,0.34169548749923706
0.0,"32,32",tanh,0.01,sgd,0.0
0.0,64,relu,0.01,adam,0.25
0.0,64,relu,0.001,sgd,0.28070175647735596
0.1,64,tanh,0.01,sgd,0.0
0.05,64,tanh,0.001,adam,0.44999998807907104
0.1,64,softplus,0.001,adam,0.3471810221672058
0.25,64,tanh,0.01,adam,0.75
0.1,64,softplus,0.01,adam,0.5555555820465088
0.25,64,relu,0.001,adam,0.3009708821773529
0.25,64,softplus,0.01,adam,0.3636363744735718
0.0,"64,32,64,32,64",relu,0.001,adam,0.35547444224357605
0.25,"32,32",relu,0.001,sgd,0.1428571492433548
0.05,"32,32",softplus,0.001,sgd,0.33820840716362
0.25,"32,32",softplus,0.01,sgd,0.0
0.1,"32,32",softplus,0.01,sgd,0.0
0.0,"32,32",relu,0.001,sgd,0.36194896697998047
0.25,64,tanh,0.01,sgd,0.0
0.1,"32,32",tanh,0.001,adam,0.0
0.05,"32,32",softplus,0.001,adam,0.34324657917022705
0.05,"32,32",relu,0.01,adam,0.0
0.1,"32,32",relu,0.001,adam,0.38035961985588074
0.05,"32,32",tanh,0.01,sgd,0.0
0.25,"32,32",relu,0.001,adam,0.2951289415359497
0.25,64,relu,0.01,adam,0.4285714328289032
0.1,64,relu,0.01,adam,0.375
0.1,64,softplus,0.01,sgd,0.4000000059604645
0.25,"32,32",softplus,0.001,sgd,0.1875
0.0,64,relu,0.001,adam,0.35445544123649597
0.1,64,softplus,0.001,sgd,0.190476194024086
0.1,64,tanh,0.001,sgd,0.6666666865348816
0.1,"32,32",tanh,0.01,adam,0.0
0.1,"32,32",softplus,0.001,adam,0.33183184266090393
0.25,"32,32",tanh,0.001,sgd,0.0
0.05,64,softplus,0.01,sgd,0.0
0.25,"32,32",softplus,0.001,adam,0.27272728085517883
0.05,"32,32",relu,0.001,sgd,0.380952388048172
0.0,"32,32",softplus,0.01,adam,0.0
0.1,"32,32",relu,0.001,sgd,0.32773110270500183
